"Application #","Status","Application Type","Date","Address","Expiration Date","Short Notes",
"26BC11835","Issued","RES Reroof","06/30/2026","2110 WINDSOR DR, MERRITT ISLAND FL 32952",,,
"26BC11786","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/30/2026","9620 S TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC11844","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","3465 FORT SUMTER ST, MELBOURNE FL 32934",,,
"26BC11827","Review In-Progress","RES Electrical","06/30/2026","1388 BONAVENTURE DR, MELBOURNE FL 32940",,,
"26BC11767","Issued","RES HVAC-Mechanical","06/30/2026","1108 MYRTLE DR, BAREFOOT BAY FL 32976",,,
"26BC11842","Issued","RES Reroof","06/30/2026","3575 SANSOME CIR, MELBOURNE FL 32940",,,
"26BC11854","Issued","RES Pool Resurface","06/30/2026","4273 CANELA RD, COCOA FL 32927",,,
"26BC11790","Issued","RES Reroof","06/30/2026","3065 SUNSET LN, COCOA FL 32922",,,
"26BC11769","Issued","RES Reroof","06/30/2026","3665 LONG LEAF DR, MELBOURNE FL 32940",,,
"26BC11829","Issued","RES HVAC-Mechanical","06/30/2026","2627 NEWFOUND HARBOR DR, MERRITT ISLAND FL 32952",,,
"26BC11789","Issued","RES HVAC-Mechanical","06/30/2026","832 THRUSH CIR, BAREFOOT BAY FL 32976",,,
"26BC11839","Issued","RES Reroof","06/30/2026","2316 ADDINGTON CIR, ROCKLEDGE FL 32955",,,
"26BC11823","Issued","RES HVAC-Mechanical","06/30/2026","4615 SUGARTOWN ST, COCOA FL 32927",,,
"26BC11851","Received","RES Marine Construction","06/30/2026","1540 BELLA CASA CT, MERRITT ISLAND FL 32952",,,
"26BC11843","Issued","RES HVAC-Mechanical","06/30/2026","4225 OVERHILL DR, MERRITT ISLAND FL 32952",,,
"26BC11805","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","2902 TIDEPOOL PL, MELBOURNE FL 32940",,,
"26BC11853","Received","RES Doors-Windows-Shutters","06/30/2026","571 PRISCILLA PL, MERRITT ISLAND FL 32953",,,
"26BC11840","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","1639 CENTRAL AVE, MERRITT ISLAND FL 32952",,,
"26BC11801","Issued","RES Reroof","06/30/2026","4769 BROOKHAVEN ST, COCOA FL 32927",,,
"26BC11834","Withdrawn","RES Doors-Windows-Shutters","06/30/2026","3819 MACFARLANE ST, MELBOURNE BEACH FL 32951",,,
"26BC11804","Review In-Progress","RES Electrical","06/30/2026","1161 IRONSIDES AVE, MELBOURNE FL 32940",,,
"26BC11818","Issued","RES HVAC-Mechanical","06/30/2026","1530 PLUM AVE, MERRITT ISLAND FL 32952",,,
"26BC11826","Review In-Progress","COM Electrical","06/30/2026","103 LOYMER CIR, SIGN, MERRITT ISLAND FL 32953",,,
"26BC11760","Issued","RES HVAC-Mechanical","06/30/2026","1552 VISTA LAKE CIR, MELBOURNE FL 32904",,,
"26BC11758","Issued","RES Reroof","06/30/2026","957 GRANDE HAVEN DR, TITUSVILLE FL 32780",,,
"26BC11813","Awaiting Client Feedback","RES Marine Construction","06/30/2026","424 ARROWHEAD LN, MELBOURNE BEACH FL 32951",,,
"26BC11783","Review In-Progress","COM Renovation","06/30/2026","7310 N HIGHWAY 1, UNIT 104, COCOA FL 32927",,,
"26BC11779","Issued","RES HVAC-Mechanical","06/30/2026","64 BOGART PL, MERRITT ISLAND FL 32953",,,
"26BC11831","Received","RES SFR Renovation","06/30/2026","1880 KIRBY DR, TITUSVILLE FL 32796",,,
"26BC11794","Issued","RES HVAC-Mechanical","06/30/2026","7117 HAMMOCK LAKES DR, MELBOURNE FL 32940",,,
"26BC11784","Review In-Progress","RES Electrical","06/30/2026","1035 COCOA ST, MERRITT ISLAND FL 32953",,,
"26BC11792","Issued","RES HVAC-Mechanical","06/30/2026","3417 HOOFPRINT DR, MELBOURNE FL 32940",,,
"26BC11832","Awaiting Client Feedback","RES SFR-Duplex New","06/30/2026","2954 DAMPIER DR, MELBOURNE FL 32940",,,
"26BC11778","Awaiting Client Feedback","RES SFR Renovation","06/30/2026","2680 COREY AVE, MELBOURNE FL 32904",,,
"26BC11782","Review In-Progress","RES Electrical","06/30/2026","2140 FEAST RD, MELBOURNE FL 32904",,,
"26BC11765","Issued","RES Reroof","06/30/2026","4100 PINEWOOD RD, MELBOURNE FL 32934",,,
"26BC11797","Review In-Progress","RES Electrical","06/30/2026","1454 PATRIOT DR, MELBOURNE FL 32940",,,
"26BC11850","Received","RES Doors-Windows-Shutters","06/30/2026","7180 KAYLOR AVE, COCOA FL 32927",,,
"26BC11764","Review In-Progress","RES Electrical","06/30/2026","108 GREENWING TRL, TITUSVILLE FL 32780",,,
"26BC11757","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","213 WINDSONG WAY, TITUSVILLE FL 32780",,,
"26BC11785","Review In-Progress","RES SFR Renovation","06/30/2026","1225 COVENTRY CIR, MELBOURNE FL 32904",,,
"26BC11763","Review In-Progress","RES Fence","06/30/2026","8879 WANDER TRL, MELBOURNE FL 32940",,,
"26BC11837","Issued","RES Reroof","06/30/2026","280 RICHARDS RD, MELBOURNE BEACH FL 32951",,,
"26BC11796","Issued","RES Reroof","06/30/2026","4125 CAROLWOOD DR, MELBOURNE FL 32934",,,
"26BC11806","Review In-Progress","RES Plumbing","06/30/2026","235 RICHLAND AVE, MERRITT ISLAND FL 32953",,,
"26BC11795","Review In-Progress","RES Electrical","06/30/2026","161 VIA HAVARRE, MERRITT ISLAND FL 32953",,,
"26BC11815","Review In-Progress","COM Electrical","06/30/2026","3297 BEAU GESTE RD, BILLBD, COCOA FL 32926",,,
"26BC11846","Issued","RES Reroof","06/30/2026","360 NEWFOUND HARBOR DR, MERRITT ISLAND FL 32952",,,
"26BC11787","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","1163 BALMORAL WAY, MELBOURNE FL 32940",,,
"26BC11821","Issued","RES HVAC-Mechanical","06/30/2026","335 NEWPORT DR, INDIALANTIC FL 32903",,,
"26BC11777","Review In-Progress","RES Electrical","06/30/2026","1262 S ORLANDO AVE, COCOA BEACH FL 32931",,,
"26BC11776","Review In-Progress","RES Electrical","06/30/2026","3841 SEAGROVE LN, 514, MELBOURNE FL 32904",,,
"26BC11810","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","206 SEAVIEW ST, MELBOURNE BEACH FL 32951",,,
"26BC11822","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/30/2026","430 LANTERNBACK ISLAND DR, SATELLITE BEACH FL 32937",,,
"26BC11766","Issued","RES Reroof","06/30/2026","3665 MIAMI AVE, MELBOURNE FL 32904",,,
"26BC11817","Issued","RES HVAC-Mechanical","06/30/2026","3580 HEARTWOOD LN, MELBOURNE FL 32934",,,
"26BC11825","Issued","RES HVAC-Mechanical","06/30/2026","3223 PHEASANT TRL, MIMS FL 32754",,,
"26BC11836","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","1510 BRONCO DR, MELBOURNE FL 32940",,,
"26BC11841","Review In-Progress","RES SFR-Duplex New","06/30/2026","5325 BLUEBILL RD, MIMS FL 32754",,,
"26BC11838","Review In-Progress","RES SFR Addition","06/30/2026","2340 OKLAHOMA ST, MELBOURNE FL 32904",,,
"26BC11791","Pending Payment","RES Fence","06/30/2026","760 JANA DR, TITUSVILLE FL 32780",,,
"26BC11830","Pending Payment","RES SFR Addition","06/30/2026","5940 MAGNOLIA ST, MIMS FL 32754",,,
"26BC11781","Review In-Progress","RES SFR Addition","06/30/2026","4675 HARTVILLE AVE, COCOA FL 32926",,,
"26BC11722","Review In-Progress","RES Fence","06/29/2026","5165 VOLUSIA AVE, TITUSVILLE FL 32780",,,
"26BC11717","Review In-Progress","RES Fence","06/29/2026","8969 WANDER TRL, MELBOURNE FL 32940",,,
"26BC11747","Issued","RES Reroof","06/29/2026","85 MELBOURNE AVE, MERRITT ISLAND FL 32953",,,
"26BC11748","Withdrawn","Multi-Family Addition","06/29/2026","422 IBIS LN, COMMON, SATELLITE BEACH FL 32937",,,
"26BC11701","Review In-Progress","COM Plumbing","06/29/2026","480 SAIL LN, 706, MERRITT ISLAND FL 32953",,,
"26BC11719","Awaiting Client Feedback","RES Plumbing","06/29/2026","1368 HILL AVE, MELBOURNE FL 32940",,,
"26BC11679","Awaiting Client Feedback","RES Plumbing","06/29/2026","4978 WEXFORD DR, ROCKLEDGE FL 32955",,,
"26BC11734","Review In-Progress","RES Electrical","06/29/2026","5000 GANDY RD, MIMS FL 32754",,,
"26BC11700","Issued","RES HVAC-Mechanical","06/29/2026","478 LANTERNBACK ISLAND DR, SATELLITE BEACH FL 32937",,,
"26BC11708","Issued","RES Reroof","06/29/2026","107 MAPLEWOOD DR, TITUSVILLE FL 32796",,,
"26BC11741","Issued","RES HVAC-Mechanical","06/29/2026","640 PARK AVE, MERRITT ISLAND FL 32953",,,
"26BC11696","Review In-Progress","RES SFR Aluminum Structure","06/29/2026","3402 SIDERWHEEL DR, ROCKLEDGE FL 32955",,,
"26BC11726","Issued","RES HVAC-Mechanical","06/29/2026","2458 ELSIE CIR, COCOA FL 32922",,,
"26BC11746","Review In-Progress","RES Fence","06/29/2026","5016 BELLFLOWER CT, MELBOURNE FL 32940",,,
"26BC11738","Review In-Progress","COM Renovation","06/29/2026","45 N TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC11745","Awaiting Client Feedback","RES Fence","06/29/2026","552 SPRING LAKE DR, MELBOURNE FL 32940",,,
"26BC11693","Issued","RES HVAC-Mechanical","06/29/2026","9912 RIVERVIEW DR, MICCO FL 32976",,,
"26BC11756","Review In-Progress","RES Doors-Windows-Shutters","06/29/2026","6275 JUDSON RD, MERRITT ISLAND FL 32953",,,
"26BC11657","Awaiting Client Feedback","COM Renovation","06/29/2026","7000 SPYGLASS CT, SUITE 160, MELBOURNE FL 32940",,,
"26BC11663","Issued","RES HVAC-Mechanical","06/29/2026","6045 EDISON ST, COCOA FL 32927",,,
"26BC11680","Issued","RES HVAC-Mechanical","06/29/2026","754 GREEN VALLEY LN, MELBOURNE FL 32940",,,
"26BC11727","Review In-Progress","RES Pool","06/29/2026","3106 KAMIN DR, MELBOURNE FL 32940",,,
"26BC11751","Awaiting Client Feedback","COM Miscellaneous","06/29/2026","8795 IVANHOE DR, UNIT 109, MELBOURNE FL 32940",,,
"26BC11718","Issued","RES Reroof","06/29/2026","1640 SANDPIPER ST, MERRITT ISLAND FL 32952",,,
"26BC11755","Issued","RES HVAC-Mechanical","06/29/2026","902 MAPLEWOOD CT, MELBOURNE FL 32940",,,
"26BC11702","Issued","RES Reroof","06/29/2026","160 BARBADOS DR, MERRITT ISLAND FL 32952",,,
"26FP00289","Review In-Progress","County Auto Extinguish","06/29/2026","1850 N COURTENAY PKWY, 106, MERRITT ISLAND FL 32953",,,
"26BC11713","Awaiting Client Feedback","RES Plumbing","06/29/2026","6455 BANKS AVE, COCOA FL 32927",,,
"26BC11684","Review In-Progress","RES Fence","06/29/2026","6185 MOONRISE DR, MERRITT ISLAND FL 32953",,,
"26BC11740","Issued","RES Doors-Windows-Shutters","06/29/2026","2650 CLYDESDALE BLVD, MELBOURNE FL 32934",,,
"26BC11711","Review In-Progress","RES Electrical","06/29/2026","110 SURRY LN, SATELLITE BEACH FL 32937",,,
"26BC11731","Review In-Progress","RES Electrical","06/29/2026","8520 HIGHWAY 1, G-8, MICCO FL 32976",,,
"26BC11725","Review In-Progress","RES Pool","06/29/2026","8604 CATALISSA AVE, MELBOURNE FL 32940",,,
"26BC11673","Issued","RES Reroof","06/29/2026","4105 HESS AVE, COCOA FL 32926",,,
"26BC11671","Issued","RES Reroof","06/29/2026","1409 TIPPERARY DR, MELBOURNE FL 32940",,,
"26BC11752","Issued","RES HVAC-Mechanical","06/29/2026","475 KINGS WAY, MERRITT ISLAND FL 32953",,,
"26BC11683","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/29/2026","2459 MERCURY DR, COCOA FL 32926",,,
"26BC11694","Issued","RES Reroof","06/29/2026","2873 BELLWIND CIR, ROCKLEDGE FL 32955",,,
"26BC11667","Issued","RES Plumbing","06/29/2026","760 HARRIER CT, ROCKLEDGE FL 32955",,,
"26BC11743","Review In-Progress","RES Doors-Windows-Shutters","06/29/2026","284 HIAWATHA WAY, MELBOURNE BEACH FL 32951",,,
"26BC11714","Review In-Progress","RES Electrical","06/29/2026","1357 DONEGAL DR, MELBOURNE FL 32940",,,
"26BC11749","Issued","RES HVAC-Mechanical","06/29/2026","21 NORTH CT, INDIALANTIC FL 32903",,,
"26BC11732","Review In-Progress","RES Electrical","06/29/2026","2700 GREGARY AVE, TITUSVILLE FL 32796",,,
"26BC11670","Awaiting Client Feedback","RES SFR-Duplex New","06/29/2026","254 DEER RUN RD, PALM BAY FL 32909",,,
"26BC11689","Review In-Progress","RES Plumbing","06/29/2026","1450 BELFORD CT, MERRITT ISLAND FL 32952",,,
"26BC11659","Issued","RES HVAC-Mechanical","06/29/2026","1021 LENNOX WAY, MELBOURNE FL 32940",,,
"26BC11688","Issued","RES HVAC-Mechanical","06/29/2026","2724 BURKE CT, COCOA FL 32926",,,
"26BC11675","Issued","RES Doors-Windows-Shutters","06/29/2026","749 MILL COVE RD, MELBOURNE FL 32940",,,
"26BC11656","Review In-Progress","RES Pool","06/29/2026","6302 ANDROMEDA AVE, MERRITT ISLAND FL 32953",,,
"26BC11706","Issued","RES Reroof","06/29/2026","4961 BANANA AVE, COCOA FL 32926",,,
"26BC11735","Review In-Progress","RES Electrical","06/29/2026","8520 HIGHWAY 1, G-9, MICCO FL 32976",,,
"26BC11662","Issued","RES HVAC-Mechanical","06/29/2026","114 HIGHVIEW DR, COCOA FL 32922",,,
"26BC11697","Withdrawn","RES Plumbing","06/29/2026","3226 BEACH VIEW WAY, MELBOURNE BEACH FL 32951",,,
"26BC11736","Review In-Progress","RES Fence","06/29/2026","2295 MARSH HARBOR AVE, MERRITT ISLAND FL 32952",,,
"26BC11703","Review In-Progress","COM Electrical","06/29/2026","4015 N HIGHWAY 1, COCOA FL 32927",,,
"26BC11690","Issued","RES HVAC-Mechanical","06/29/2026","5930 RIVERSIDE DR, MELBOURNE BEACH FL 32951",,,
"26BC11698","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/29/2026","4741 CHARDONNAY DR, ROCKLEDGE FL 32955",,,
"26BC11695","Issued","RES Reroof","06/29/2026","6730 HIGHWAY A1A, MELBOURNE BEACH FL 32951",,,
"26BC11728","Review In-Progress","COM Renovation","06/29/2026","217 CROCKETT BLVD, MERRITT ISLAND FL 32953",,,
"26BC11730","Review In-Progress","RES Electrical","06/29/2026","8520 HIGHWAY 1, G-7, MICCO FL 32976",,,
"26BC11677","Issued","RES Reroof","06/29/2026","823 WEST VIRGINIA ST, COCOA FL 32927",,,
"26BC11685","Review In-Progress","RES Generator","06/29/2026","8140 S TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC11660","Awaiting Client Feedback","RES Electrical","06/29/2026","5305 CITRUS BLVD, COCOA FL 32926",,,
"26BC11661","Review In-Progress","RES SFR Aluminum Structure","06/29/2026","686 NICKLAUS DR, MELBOURNE FL 32940",,,
"26BC11750","Review In-Progress","RES Doors-Windows-Shutters","06/29/2026","4015 GRANTLINE RD, MIMS FL 32754",,,
"26BC11672","Review In-Progress","RES Fence","06/29/2026","3436 EBBING LN, MELBOURNE FL 32940",,,
"26BC11699","Issued","RES Reroof","06/29/2026","2820 ANZA ST, MELBOURNE FL 32940",,,
"26BC11664","Review In-Progress","RES SFR Aluminum Structure","06/29/2026","1770 FOWLER DR, MERRITT ISLAND FL 32952",,,
"26BC11742","Review In-Progress","COM Plumbing","06/29/2026","3226 BEACH VIEW WAY, MELBOURNE BEACH FL 32951",,,
"26FP00288","Review In-Progress","County Sprinkler","06/29/2026","5451 LAKE ANDREW DR, MELBOURNE FL 32940",,,
"26BC11715","Issued","RES Plumbing","06/29/2026","102 SILVER HILL LN, COCOA FL 32926",,,
"26BC11669","Review In-Progress","RES Electrical","06/29/2026","5105 CABBAGE PALM ST, COCOA FL 32927",,,
"26BC11674","Issued","RES HVAC-Mechanical","06/29/2026","2725 N HIGHWAY A1A, 103, INDIALANTIC FL 32903",,,
"26BC11665","Issued","RES Plumbing","06/29/2026","9659 FLEMING GRANT RD, MICCO FL 32976",,,
"26BC11710","Awaiting Client Feedback","RES Plumbing","06/29/2026","280 ARTEMIS BLVD, MERRITT ISLAND FL 32953",,,
"26BC11724","Issued","RES HVAC-Mechanical","06/29/2026","1574 KNOLL RIDGE DR, MELBOURNE FL 32940",,,
"26BC11655","Issued","RES Reroof","06/29/2026","16 SOUTH CT, INDIALANTIC FL 32903",,,
"26BC11712","Issued","RES HVAC-Mechanical","06/29/2026","185 LANTERNBACK ISLAND DR, SATELLITE BEACH FL 32937",,,
"26BC11707","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/29/2026","2090 LEEWARD LN, MERRITT ISLAND FL 32953",,,
"26BC11692","Issued","RES HVAC-Mechanical","06/29/2026","4925 BOWIE CT, COCOA FL 32927",,,
"26BC11739","Issued","RES HVAC-Mechanical","06/29/2026","2135 PORPOISE ST, MERRITT ISLAND FL 32952",,,
"26BC11691","Issued","RES HVAC-Mechanical","06/29/2026","140 WARSTEINER WAY, UNIT 801, MELBOURNE BEACH FL 32951",,,
"26BC11721","Review In-Progress","RES Fence","06/29/2026","100 BEL AIRE DR, INDIAN HARBOUR BEACH FL 32937",,,
"26BC11676","Issued","RES Plumbing","06/29/2026","2986 CASTERTON DR, MELBOURNE FL 32940",,,
"26BC11666","Issued","RES HVAC-Mechanical","06/29/2026","205 ADDISON WAY, TITUSVILLE FL 32780",,,
"26BC11686","Issued","RES HVAC-Mechanical","06/29/2026","295 HIGHWAY A1A, 403, SATELLITE BEACH FL 32937",,,
"26BC11754","Review In-Progress","RES Electrical","06/29/2026","235 RICHLAND AVE, MERRITT ISLAND FL 32953",,,
"26BC11733","Review In-Progress","RES Electrical","06/29/2026","2955 IRWIN AVE, MIMS FL 32754",,,
"26BC11687","Awaiting Client Feedback","RES Fence","06/29/2026","1059 MANILA DR, BAREFOOT BAY FL 32976",,,
"26BC11681","Issued","RES Reroof","06/29/2026","160 SURRY LN, SATELLITE BEACH FL 32937",,,
"26BC11716","Issued","RES Doors-Windows-Shutters","06/29/2026","4595 ALIX LN, MIMS FL 32754",,,
"26BC11729","Issued","RES HVAC-Mechanical","06/29/2026","1670 N BANANA RIVER DR, MERRITT ISLAND FL 32952",,,
"26BC11753","Issued","RES HVAC-Mechanical","06/29/2026","490 WINDSOR PL, ROCKLEDGE FL 32955",,,
"26BC11668","Issued","RES SFR Renovation","06/29/2026","260 OCEAN OAKS DR, INDIALANTIC FL 32903",,,
"26BC11682","Review In-Progress","RES SFR Aluminum Structure","06/29/2026","3915 BALDWIN DR, MICCO FL 32976",,,
"26BC11658","Issued","RES HVAC-Mechanical","06/29/2026","250 POMPANO DR, MELBOURNE BEACH FL 32951",,,
"26BC11737","Issued","RES HVAC-Mechanical","06/29/2026","290 UTOPIA CIR, MERRITT ISLAND FL 32952",,,
"26BC11709","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/29/2026","956 FOSTORIA DR, MELBOURNE FL 32940",,,
"26BC11678","Pending Payment","RES SFR Addition","06/29/2026","6470 RIDGE CT, TITUSVILLE FL 32780",,,
"26BC11720","Review In-Progress","RES Fence","06/29/2026","3717 BAYFIELD ST, COCOA FL 32926",,,
"26BC11705","Received","COM New Construction","06/29/2026","8298 N WICKHAM RD, MELBOURNE FL 32940",,,
"26BC11723","Review In-Progress","RES Fence","06/29/2026","6665 MIRAFLORES AVE, COCOA FL 32927",,,
"26BC11744","Review In-Progress","RES SFR-Duplex New","06/29/2026","6991 ASH DR, COCOA FL 32927",,,
"26BC11704","Awaiting Client Feedback","RES Plumbing","06/29/2026","257 MANTH AVE, COCOA FL 32927",,,
"26BC11654","Review In-Progress","RES Marine Construction","06/28/2026","1608 BAYSIDE ST, MERRITT ISLAND FL 32952",,,
"26BC11647","Issued","RES HVAC-Mechanical","06/28/2026","1866 FUJI DR, MELBOURNE FL 32940",,,
"26BC11649","Issued","COM HVAC-Mechanical","06/28/2026","4100 N WICKHAM RD, 104, MELBOURNE FL 32935",,,
"26BC11648","Issued","COM HVAC-Mechanical","06/28/2026","2727 N HIGHWAY A1A, 403, INDIALANTIC FL 32903",,,
"26BC11653","Review In-Progress","RES Electrical","06/28/2026","1423 LICHT ST, COCOA FL 32922",,,
"26BC11646","Issued","RES HVAC-Mechanical","06/28/2026","979 FOSTORIA DR, MELBOURNE FL 32940",,,
"26BC11652","Issued","RES HVAC-Mechanical","06/28/2026","997 FOSTORIA DR, MELBOURNE FL 32940",,,
"26BC11651","Review In-Progress","RES Electrical","06/28/2026","2085 S TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC11650","Withdrawn","RES Doors-Windows-Shutters","06/28/2026","550 GARFIELD AVE, 202, COCOA BEACH FL 32931",,,
"26BC11644","Issued","RES Doors-Windows-Shutters","06/27/2026","7151 ROSSI WAY, MELBOURNE FL 32940",,,
"26BC11645","Awaiting Client Feedback","RES Electrical","06/27/2026","2250 SUNSET AVE, INDIALANTIC FL 32903",,,
"26BC11643","Issued","RES HVAC-Mechanical","06/27/2026","4679 CHASTAIN DR, MELBOURNE FL 32940",,,
"26BC11642","Issued","RES Reroof","06/27/2026","1203 POTOMAC DR, MERRITT ISLAND FL 32952",,,
"26BC11587","Review In-Progress","RES Fence","06/26/2026","9010 WANDER TRL, MELBOURNE FL 32940",,,
"26BC11640","Issued","RES Reroof","06/26/2026","6315 EMBER AVE, COCOA FL 32927",,,
"26BC11621","Awaiting Client Feedback","RES Doors-Windows-Shutters","06/26/2026","293 SANIBEL WAY, MELBOURNE BEACH FL 32951",,,
"26BC11604","Issued","RES Plumbing","06/26/2026","335 RICHARDS RD, MELBOURNE BEACH FL 32951",,,
"26BC11618","Issued","COM Plumbing","06/26/2026","801 DEL RIO WAY, UNIT 202, MERRITT ISLAND FL 32953",,,
"26BC11631","Issued","RES HVAC-Mechanical","06/26/2026","334 KIWI DR, BAREFOOT BAY FL 32976",,,
"26BC11588","Issued","RES Reroof","06/26/2026","799 GLENGARRY DR, MELBOURNE FL 32940",,,
"26BC11589","Awaiting Client Feedback","RES Solar Photovoltaic","06/26/2026","6069 BALSAM ST, COCOA FL 32927",,,
"26BC11571","Issued","RES Reroof","06/26/2026","919 OSPREY DR, MELBOURNE FL 32940",,,
"26BC11585","Issued","RES Reroof","06/26/2026","5225 PALM DR, MELBOURNE BEACH FL 32951",,,
"26BC11609","Withdrawn","RES Mobile Home","06/26/2026","1410 OLD DIXIE HWY, COMMON, TITUSVILLE FL 32796",,,
